State,Most people can be trusted,Can't be too careful,NA,DK
Argentina,19.2,77.5,0.8,2.5
Australia,51.4,47.8,0.7,0
Chile,12.4,84.7,1.9,1
China,60.3,35.2,1.8,2.6
Taiwan,30.3,67.7,0.1,1.9
Colombia,4.1,95.2,0.7,0.1
Germany,44.6,53.8,0.1,1.3
India,16.7,77.9,0,5.4
Japan,35.9,56.8,0,7.3
South Korea,26.5,73,0.5,0
Mexico,12.4,87.4,0,0.2
New Zealand,55.3,42.1,1.7,1
Nigeria,15,85,0,0
Pakistan,22.2,73.8,2.4,1.5
Peru,8.4,90.5,0.4,0.7
Philippines,3.2,96.4,0,0.5
Poland,22.2,75.6,0,2.2
Romania,7.7,91.4,0.2,0.7
Russia,27.8,66.2,0.4,5
Slovenia,19.9,79.1,0.3,0.7
South Africa,23.3,76.2,0,0.6
Spain,19,78,0.5,2.5
Sweden,60.1,37.2,0.8,1.6
Turkey,11.6,82.9,2.1,3.4
Ukraine,23.1,70.3,1.6,4.9
Egypt,21.5,78.5,0,0
United States,34.8,64.3,0.9,0
Uruguay,13.8,76.7,4.4,5.1
